sample,exposure,outcome,term,coef,se,pvalue
COAST,Ker10_w1,lnpov_z,r308b1d,0.029514706377076982,0.020097251886972683,0.14194290489268302
COAST,Ker10_w1,lnpov_z,r308b1e,0.009495992921914269,0.021478008424241614,0.6583977961339309
COAST,Ker10_w1,lnpov_z,r309a,-0.05080042733628244,0.046573053883922515,0.2753746922692143
COAST,Ker10_w1,lnpov_z,r309b,0.025031431072287842,0.019817119650051444,0.20654549714434578
COAST,Ker10_w1,lnpov_z,r309d,-0.03339545163802618,0.015220361148728481,0.028226062124850494
COAST,Ker10_w1,lnpov_z,r309e,-0.013776154797747698,0.031175528364200487,0.6585687940929899
COAST,Ker10_w1,lnpov_z,r310,0.038634850265572486,0.02107844299139611,0.06681622930042191
COAST,Ker10_w1,lnpov_z,r403a,-0.0242963855245658,0.003830561910159137,2.256654932605803e-10
COAST,Ker10_w1,lnpov_z,r403c1,0.04106284197421239,0.011934516704265413,0.0005802563082543091
COAST,Ker10_w1,lnpov_z,r403c2,0.019973253984418817,0.008432729712884711,0.01785847007377801
COAST,Ker10_w1,Wbasic_z,A,0.14815431551416458,0.0360719524034641,4.005040112962242e-05
COAST,Ker10_w1,Wbasic_z,WA,0.0740332002375689,0.04834125559453718,0.12565318576294995
COAST,Ker10_w1,Wbasic_z,r308b1d,-0.03727060876258848,0.013781770213001355,0.00684399770785537
COAST,Ker10_w1,Wbasic_z,r308b1e,-0.007203021302895166,0.017148009841851383,0.6744489376608737
COAST,Ker10_w1,Wbasic_z,r309a,0.017008869708761695,0.031218437153510397,0.5858676102703434
COAST,Ker10_w1,Wbasic_z,r309b,-0.016149593300823842,0.01357263692043116,0.23409981391361856
COAST,Ker10_w1,Wbasic_z,r309d,0.03302838671624416,0.011457321453772495,0.003942427529190423
COAST,Ker10_w1,Wbasic_z,r309e,-0.04040632275713664,0.021291161694113665,0.05772270498314904
COAST,Ker10_w1,Wbasic_z,r310,0.03458332316145456,0.0150752777235027,0.021788075308384273
COAST,Ker10_w1,Wbasic_z,r403a,0.031042727826682655,0.0029449539021858045,5.590759705043475e-26
COAST,Ker10_w1,Wbasic_z,r403c1,-0.05933776694407415,0.010108900432449098,4.361797760778459e-09
COAST,Ker10_w1,Wbasic_z,r403c2,-0.0323239830211201,0.007802786573563496,3.433599710030009e-05
ALL,A_v_log,lnpov_z,A,-0.1199458985717469,0.037489661766195975,0.0013769516171255863
ALL,A_v_log,lnpov_z,WA,-0.0023817822738677577,0.04837379042646265,0.9607303930743287
ALL,A_v_log,lnpov_z,r308b1d,-0.01654873734488461,0.018189294090563583,0.36292458486407575
ALL,A_v_log,lnpov_z,r308b1e,-0.016225299933284976,0.01672644256248623,0.3320271029075905
ALL,A_v_log,lnpov_z,r309a,-0.1348282859339052,0.02336938443176423,7.95348923260235e-09
ALL,A_v_log,lnpov_z,r309b,0.015613534727294742,0.014776266023266685,0.29066538168668254
ALL,A_v_log,lnpov_z,r309d,-0.04138585529042589,0.009605021853756831,1.6416302568764046e-05
ALL,A_v_log,lnpov_z,r309e,0.0017908366980154305,0.014573888958814531,0.9022022741798958
ALL,A_v_log,lnpov_z,r310,0.005985812609522944,0.012042735083741688,0.6191554826762935
ALL,A_v_log,lnpov_z,r403a,-0.019303172218240492,0.0018561261385961442,2.4869078601122365e-25
ALL,A_v_log,lnpov_z,r403c1,0.05711300647646085,0.006030345645221073,2.7735211581657515e-21
ALL,A_v_log,lnpov_z,r403c2,0.031997772712396726,0.00478578920592864,2.2935758061735508e-11
ALL,A_v_log,Wbasic_z,A,0.04153982684193877,0.01907683584904922,0.029443216250522007
ALL,A_v_log,Wbasic_z,WA,0.032678781564679564,0.022304745848348316,0.14289243296702175
ALL,A_v_log,Wbasic_z,r308b1d,-0.005280655990700295,0.014048000756358026,0.7069905786419267
ALL,A_v_log,Wbasic_z,r308b1e,0.00754254063126606,0.012681249826253684,0.5519912308487929
ALL,A_v_log,Wbasic_z,r309a,0.18591470787554978,0.02024182818872708,4.127539527368921e-20
ALL,A_v_log,Wbasic_z,r309b,-0.023108104310599096,0.009214334192410663,0.012147059497912277
ALL,A_v_log,Wbasic_z,r309d,0.06553789434226254,0.008792980831647944,9.094212582972667e-14
ALL,A_v_log,Wbasic_z,r309e,-0.0191953939573306,0.011639499828918928,0.09911492324077016
ALL,A_v_log,Wbasic_z,r310,0.019246465042378032,0.011205678575157476,0.08587625410504861
ALL,A_v_log,Wbasic_z,r403a,0.018935779311618696,0.0013902542003393413,3.0302050880813914e-42
ALL,A_v_log,Wbasic_z,r403c1,-0.0635731445356218,0.0049446370828144836,7.857834210357349e-38
ALL,A_v_log,Wbasic_z,r403c2,-0.04785865710090365,0.004147251448216249,8.307054064625069e-31
ALL,Ker5_w1,lnpov_z,A,-0.18040825021252344,0.06723341154735857,0.00728968498021344
ALL,Ker5_w1,lnpov_z,WA,-0.12215494117213778,0.08113680590772354,0.13218455889219882
ALL,Ker5_w1,lnpov_z,r308b1d,-0.01562965194798552,0.018154925257903153,0.3892907918076498
ALL,Ker5_w1,lnpov_z,r308b1e,-0.019555550280476938,0.017047644926779452,0.2513355237111172
ALL,Ker5_w1,lnpov_z,r309a,-0.14232582943299896,0.024276405391127857,4.553386967091046e-09
ALL,Ker5_w1,lnpov_z,r309b,0.017066711221145996,0.014972912076681288,0.25435332415381307
ALL,Ker5_w1,lnpov_z,r309d,-0.04441263402136461,0.009958671355527771,8.207647742832805e-06
ALL,Ker5_w1,lnpov_z,r309e,0.0027894371603657407,0.014727964503141493,0.8497814165710125
ALL,Ker5_w1,lnpov_z,r310,0.003212254648091269,0.011984750716261395,0.7886773882637278
ALL,Ker5_w1,lnpov_z,r403a,-0.019441855528642592,0.0018800466773043604,4.5896839049334485e-25
ALL,Ker5_w1,lnpov_z,r403c1,0.058616888167581364,0.006064512649935169,4.2231933056131967e-22
ALL,Ker5_w1,lnpov_z,r403c2,0.032485255480896244,0.004799288767739135,1.2988675199604738e-11
ALL,Ker5_w1,Wbasic_z,A,0.05079293901801665,0.043170301452679805,0.2393666463732138
ALL,Ker5_w1,Wbasic_z,WA,0.1127351277159999,0.056189940480645045,0.04482187780309693
ALL,Ker5_w1,Wbasic_z,r308b1d,-0.005400282820389653,0.014240984987024476,0.7045340690414444
ALL,Ker5_w1,Wbasic_z,r308b1e,0.010013680016520378,0.012693670261804053,0.43018686976036447
ALL,Ker5_w1,Wbasic_z,r309a,0.19046336778296435,0.02055825077649037,1.9586364418731406e-20
ALL,Ker5_w1,Wbasic_z,r309b,-0.02398608895558196,0.009386118504950103,0.010603980451037253
ALL,Ker5_w1,Wbasic_z,r309d,0.06742777062448703,0.008981794083056518,6.042358446186667e-14
ALL,Ker5_w1,Wbasic_z,r309e,-0.020052773302720373,0.011739699567065505,0.08761474737064938
ALL,Ker5_w1,Wbasic_z,r310,0.020907287254560175,0.011280711784404655,0.06382992251249348
ALL,Ker5_w1,Wbasic_z,r403a,0.01912137674973549,0.0013962820989854012,1.0952071915217419e-42
ALL,Ker5_w1,Wbasic_z,r403c1,-0.06462715660574919,0.004975468366926031,1.4096501621540939e-38
ALL,Ker5_w1,Wbasic_z,r403c2,-0.04817509019635342,0.0041861180260138915,1.1982094767002234e-30
ALL,Ker10_w1,lnpov_z,A,-0.09757103468858114,0.0578225500193563,0.09152226411919478
ALL,Ker10_w1,lnpov_z,WA,-0.09285341110652197,0.06679629609097328,0.1644990591676383
ALL,Ker10_w1,lnpov_z,r308b1d,-0.01899579808298541,0.018123356971002327,0.2945745489767053
ALL,Ker10_w1,lnpov_z,r308b1e,-0.018188060431204352,0.017047425410494626,0.2860126963331576
ALL,Ker10_w1,lnpov_z,r309a,-0.14134097973990392,0.02420665832770325,5.253718493934214e-09
ALL,Ker10_w1,lnpov_z,r309b,0.017421598617715382,0.014946455848408343,0.24377594584751783
ALL,Ker10_w1,lnpov_z,r309d,-0.044656208250680084,0.009954027096822637,7.248924658523345e-06
ALL,Ker10_w1,lnpov_z,r309e,0.002429630918781769,0.014696934761478746,0.8686956701357238
ALL,Ker10_w1,lnpov_z,r310,0.0037760875111147833,0.01197614060418616,0.7525332270788553
ALL,Ker10_w1,lnpov_z,r403a,-0.019629614454231382,0.0019024557694845353,5.840327570029713e-25
ALL,Ker10_w1,lnpov_z,r403c1,0.058266059735164744,0.0060747074352034474,8.674387915179625e-22
ALL,Ker10_w1,lnpov_z,r403c2,0.03229095336145099,0.004804200429388013,1.7998658898888144e-11
ALL,Ker10_w1,Wbasic_z,A,0.012116219276446606,0.030974844845398107,0.6956766113529557
ALL,Ker10_w1,Wbasic_z,WA,0.08559847373439816,0.0360630859968664,0.017616769369983517
ALL,Ker10_w1,Wbasic_z,r308b1d,-0.003763705752884306,0.014274827099433505,0.7920416592065931
ALL,Ker10_w1,Wbasic_z,r308b1e,0.009677335633227969,0.012687540654354446,0.44561654855818655
ALL,Ker10_w1,Wbasic_z,r309a,0.18997854312519577,0.02052771955844677,2.1476850311724034e-20
ALL,Ker10_w1,Wbasic_z,r309b,-0.024143342431015746,0.009380212558195867,0.01005713142293348
ALL,Ker10_w1,Wbasic_z,r309d,0.06760071057959242,0.008978897576209116,5.1191872083547764e-14
ALL,Ker10_w1,Wbasic_z,r309e,-0.020024664545412327,0.01172115762653652,0.08755836870965691
ALL,Ker10_w1,Wbasic_z,r310,0.020675578856559098,0.011286524416972449,0.06696903012204777
ALL,Ker10_w1,Wbasic_z,r403a,0.01926190622793766,0.0014142693241223773,3.058737685326226e-42
ALL,Ker10_w1,Wbasic_z,r403c1,-0.06451648248213816,0.00498433493005478,2.545471950521489e-38
ALL,Ker10_w1,Wbasic_z,r403c2,-0.04809533864351186,0.004193106205004134,1.864482482352029e-30
