sample,exposure,outcome,term,coef
COAST,Ker5_w1,lnpov_z,r403a,[0.04175731]
COAST,Ker5_w1,lnpov_z,r403c1,[-0.00933456]
COAST,Ker5_w1,lnpov_z,r403c2,[0.00580076]
COAST,Ker5_w1,Wbasic_z,rho,[0.64993706]
COAST,Ker5_w1,Wbasic_z,A_hat,[-0.01080166]
COAST,Ker5_w1,Wbasic_z,WA_hat,[1.03596862]
COAST,Ker5_w1,Wbasic_z,r308b1d,[-0.88016809]
COAST,Ker5_w1,Wbasic_z,r308b1e,[-0.01060833]
COAST,Ker5_w1,Wbasic_z,r309a,[-0.00895073]
COAST,Ker5_w1,Wbasic_z,r309b,[0.00420482]
COAST,Ker5_w1,Wbasic_z,r309d,[-0.01591907]
COAST,Ker5_w1,Wbasic_z,r309e,[0.01493232]
COAST,Ker5_w1,Wbasic_z,r310,[-0.01278279]
COAST,Ker5_w1,Wbasic_z,r403a,[0.02224621]
COAST,Ker5_w1,Wbasic_z,r403c1,[0.01722419]
COAST,Ker5_w1,Wbasic_z,r403c2,[-0.02901783]
COAST,Ker10_w1,lnpov_z,rho,[0.82056787]
COAST,Ker10_w1,lnpov_z,A_hat,[0.0084568]
COAST,Ker10_w1,lnpov_z,WA_hat,[-0.87516782]
COAST,Ker10_w1,lnpov_z,r308b1d,[0.73316027]
COAST,Ker10_w1,lnpov_z,r308b1e,[-0.01583757]
COAST,Ker10_w1,lnpov_z,r309a,[0.03956403]
COAST,Ker10_w1,lnpov_z,r309b,[-0.055423]
COAST,Ker10_w1,lnpov_z,r309d,[0.02290574]
COAST,Ker10_w1,lnpov_z,r309e,[-0.01663644]
COAST,Ker10_w1,lnpov_z,r310,[-0.04079768]
COAST,Ker10_w1,lnpov_z,r403a,[0.04544529]
COAST,Ker10_w1,lnpov_z,r403c1,[-0.01069085]
COAST,Ker10_w1,lnpov_z,r403c2,[0.00385146]
COAST,Ker10_w1,Wbasic_z,rho,[0.64614343]
COAST,Ker10_w1,Wbasic_z,A_hat,[-0.01073861]
COAST,Ker10_w1,Wbasic_z,WA_hat,[0.76374427]
COAST,Ker10_w1,Wbasic_z,r308b1d,[-0.64471771]
COAST,Ker10_w1,Wbasic_z,r308b1e,[-0.00144708]
COAST,Ker10_w1,Wbasic_z,r309a,[-0.01892446]
COAST,Ker10_w1,Wbasic_z,r309b,[0.00750978]
COAST,Ker10_w1,Wbasic_z,r309d,[-0.01658714]
COAST,Ker10_w1,Wbasic_z,r309e,[0.0117274]
COAST,Ker10_w1,Wbasic_z,r310,[-0.00689975]
COAST,Ker10_w1,Wbasic_z,r403a,[0.01898693]
COAST,Ker10_w1,Wbasic_z,r403c1,[0.01829657]
COAST,Ker10_w1,Wbasic_z,r403c2,[-0.0270305]
ALL,A_v_log,lnpov_z,rho,[0.82434146]
ALL,A_v_log,lnpov_z,A_hat,[0.00276348]
ALL,A_v_log,lnpov_z,WA_hat,[-0.24564111]
ALL,A_v_log,lnpov_z,r308b1d,[0.21656576]
ALL,A_v_log,lnpov_z,r308b1e,[-0.03711331]
ALL,A_v_log,lnpov_z,r309a,[0.01391124]
ALL,A_v_log,lnpov_z,r309b,[-0.06326368]
ALL,A_v_log,lnpov_z,r309d,[0.01026544]
ALL,A_v_log,lnpov_z,r309e,[-0.0156472]
ALL,A_v_log,lnpov_z,r310,[-0.01510202]
ALL,A_v_log,lnpov_z,r403a,[0.02313567]
ALL,A_v_log,lnpov_z,r403c1,[-0.00732735]
ALL,A_v_log,lnpov_z,r403c2,[0.02316563]
ALL,A_v_log,Wbasic_z,rho,[0.61087317]
ALL,A_v_log,Wbasic_z,A_hat,[-0.00954284]
ALL,A_v_log,Wbasic_z,WA_hat,[0.2125811]
ALL,A_v_log,Wbasic_z,r308b1d,[-0.17918966]
ALL,A_v_log,Wbasic_z,r308b1e,[0.01164473]
ALL,A_v_log,Wbasic_z,r309a,[-0.01082146]
ALL,A_v_log,Wbasic_z,r309b,[0.11776874]
ALL,A_v_log,Wbasic_z,r309d,[-0.01442007]
ALL,A_v_log,Wbasic_z,r309e,[0.03383903]
ALL,A_v_log,Wbasic_z,r310,[-0.00059484]
ALL,A_v_log,Wbasic_z,r403a,[0.00632257]
ALL,A_v_log,Wbasic_z,r403c1,[0.01210545]
ALL,A_v_log,Wbasic_z,r403c2,[-0.03798669]
ALL,Ker5_w1,lnpov_z,rho,[0.84355857]
ALL,Ker5_w1,lnpov_z,A_hat,[0.00282791]
ALL,Ker5_w1,lnpov_z,WA_hat,[-1.00902949]
ALL,Ker5_w1,lnpov_z,r308b1d,[0.91386291]
ALL,Ker5_w1,lnpov_z,r308b1e,[-0.03201142]
ALL,Ker5_w1,lnpov_z,r309a,[0.01656566]
ALL,Ker5_w1,lnpov_z,r309b,[-0.07257963]
ALL,Ker5_w1,lnpov_z,r309d,[0.01233961]
ALL,Ker5_w1,lnpov_z,r309e,[-0.0189416]
ALL,Ker5_w1,lnpov_z,r310,[-0.01847871]
ALL,Ker5_w1,lnpov_z,r403a,[0.02111792]
ALL,Ker5_w1,lnpov_z,r403c1,[-0.0056978]
ALL,Ker5_w1,lnpov_z,r403c2,[0.02161954]
ALL,Ker5_w1,Wbasic_z,rho,[0.61749649]
ALL,Ker5_w1,Wbasic_z,A_hat,[-0.00964631]
ALL,Ker5_w1,Wbasic_z,WA_hat,[0.78881813]
ALL,Ker5_w1,Wbasic_z,r308b1d,[-0.65688626]
ALL,Ker5_w1,Wbasic_z,r308b1e,[0.00757198]
ALL,Ker5_w1,Wbasic_z,r309a,[-0.01259592]
ALL,Ker5_w1,Wbasic_z,r309b,[0.12625303]
ALL,Ker5_w1,Wbasic_z,r309d,[-0.01601606]
ALL,Ker5_w1,Wbasic_z,r309e,[0.03683413]
ALL,Ker5_w1,Wbasic_z,r310,[0.00173606]
ALL,Ker5_w1,Wbasic_z,r403a,[0.00825903]
ALL,Ker5_w1,Wbasic_z,r403c1,[0.01097554]
ALL,Ker5_w1,Wbasic_z,r403c2,[-0.03716136]
ALL,Ker10_w1,lnpov_z,rho,[0.83666727]
ALL,Ker10_w1,lnpov_z,A_hat,[0.0028048]
ALL,Ker10_w1,lnpov_z,WA_hat,[-0.59877898]
ALL,Ker10_w1,lnpov_z,r308b1d,[0.5327099]
ALL,Ker10_w1,lnpov_z,r308b1e,[-0.04167036]
ALL,Ker10_w1,lnpov_z,r309a,[0.02104805]
ALL,Ker10_w1,lnpov_z,r309b,[-0.0710279]
ALL,Ker10_w1,lnpov_z,r309d,[0.01327763]
ALL,Ker10_w1,lnpov_z,r309e,[-0.01978499]
ALL,Ker10_w1,lnpov_z,r310,[-0.01878018]
ALL,Ker10_w1,lnpov_z,r403a,[0.02205203]
ALL,Ker10_w1,lnpov_z,r403c1,[-0.00641263]
ALL,Ker10_w1,lnpov_z,r403c2,[0.02148949]
ALL,Ker10_w1,Wbasic_z,rho,[0.6190424]
ALL,Ker10_w1,Wbasic_z,A_hat,[-0.00967046]
ALL,Ker10_w1,Wbasic_z,WA_hat,[0.50962233]
ALL,Ker10_w1,Wbasic_z,r308b1d,[-0.42941843]
ALL,Ker10_w1,Wbasic_z,r308b1e,[0.01555504]
ALL,Ker10_w1,Wbasic_z,r309a,[-0.0168282]
ALL,Ker10_w1,Wbasic_z,r309b,[0.12456395]
ALL,Ker10_w1,Wbasic_z,r309d,[-0.01697296]
ALL,Ker10_w1,Wbasic_z,r309e,[0.03736508]
ALL,Ker10_w1,Wbasic_z,r310,[0.00256983]
ALL,Ker10_w1,Wbasic_z,r403a,[0.00733263]
ALL,Ker10_w1,Wbasic_z,r403c1,[0.01138249]
ALL,Ker10_w1,Wbasic_z,r403c2,[-0.03664007]
