---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/athamawardi/Desktop/Research-Projects/PSE_Pertamina/Output/hurdle/welfaregrid_Edu_z_Ker20_w1.log
  log type:  text
 opened on:  20 Jan 2026, 18:52:39
RUN: reg Edu_z on basepre=Ker20_w1 + controls
note: 2.r308b1e omitted because of collinearity.
note: 3.r309b omitted because of collinearity.
note: 4.r309d omitted because of collinearity.
note: 2.r309e omitted because of collinearity.
note: 5.r403c1 omitted because of collinearity.
note: 4.r403c2 omitted because of collinearity.

Linear regression                               Number of obs     =     84,276
                                                F(38, 487)        =          .
                                                Prob > F          =          .
                                                R-squared         =     0.7211
                                                Root MSE          =     .52989

                                  (Std. err. adjusted for 488 clusters in nama_kab)
-----------------------------------------------------------------------------------
                  |               Robust
           11 13  |  -.2172324   .0141726   -15.33   0.000    -.2450794   -.1893854
           11 14  |  -.2801431   .0145185   -19.30   0.000    -.3086697   -.2516166
           11 15  |  -.1132578   .0137807    -8.22   0.000    -.1403347   -.0861808
           11 16  |  -.1797472   .0101092   -17.78   0.000    -.1996102   -.1598843
           11 17  |  -.2845706   .0151883   -18.74   0.000    -.3144132    -.254728
           11 18  |  -.3432669    .014094   -24.36   0.000    -.3709595   -.3155744
           11 71  |  -.0140464   .0453633    -0.31   0.757    -.1031783    .0750855
           11 72  |  -.4494893   .0143424   -31.34   0.000    -.4776699   -.4213087
           11 73  |  -.3763703   .0213339   -17.64   0.000    -.4182882   -.3344525
           11 74  |    -.49167   .0343381   -14.32   0.000    -.5591392   -.4242008
           11 75  |  -.4676244   .0143611   -32.56   0.000    -.4958417   -.4394071
            12 1  |   .2580618   .0198753    12.98   0.000     .2190099    .2971137
            12 2  |  -.1173353   .0154285    -7.61   0.000    -.1476499   -.0870207
            12 3  |  -.2684755   .0151318   -17.74   0.000    -.2982071   -.2387439
            12 4  |   -.379398   .0142377   -26.65   0.000    -.4073729   -.3514231
            12 5  |  -.0149124   .0145184    -1.03   0.305    -.0434388     .013614
            12 6  |   .3508426   .0147336    23.81   0.000     .3218934    .3797918
            12 7  |  -1.037039   .0142815   -72.61   0.000      -1.0651   -1.008978
            12 8  |  -.6299329   .0229427   -27.46   0.000    -.6750118    -.584854
            12 9  |  -.2059144   .0150626   -13.67   0.000      -.23551   -.1763187
           12 10  |  -.0511779   .0147683    -3.47   0.001    -.0801953   -.0221604
           12 11  |   .0651547   .0151331     4.31   0.000     .0354204    .0948889
           12 12  |  -.6447612   .0192297   -33.53   0.000    -.6825445   -.6069779
           12 13  |  -.7216998   .0158985   -45.39   0.000    -.7529379   -.6904618
           12 14  |   .3104734   .0169805    18.28   0.000     .2771093    .3438374
           12 15  |  -.0420679   .0155173    -2.71   0.007    -.0725571   -.0115787
           12 16  |  -.1715867   .0167638   -10.24   0.000    -.2045249   -.1386484
           12 17  |   .1979015   .0147965    13.37   0.000     .1688285    .2269744
           12 18  |  -.4104567   .0169095   -24.27   0.000    -.4436812   -.3772321
           12 19  |  -.6804208   .0223595   -30.43   0.000    -.7243537   -.6364879
           12 20  |   .1394644   .0155858     8.95   0.000     .1088406    .1700881
           12 21  |  -.1791251   .0147493   -12.14   0.000    -.2081052   -.1501449
           12 22  |  -1.108614   .0158473   -69.96   0.000    -1.139751   -1.077476
           12 23  |  -.8744421   .0146109   -59.85   0.000    -.9031502    -.845734
           12 24  |   .0262092    .018129     1.45   0.149    -.0094115      .06183
           12 25  |   .0105104   .0183569     0.57   0.567     -.025558    .0465788
           12 71  |  -.8019266   .0255293   -31.41   0.000    -.8520878   -.7517654
           12 72  |  -.7148458   .0942836    -7.58   0.000    -.9000987    -.529593
           12 73  |  -.6488005    .020141   -32.21   0.000    -.6883745   -.6092264
           12 74  |  -.9188015    .021368   -43.00   0.000    -.9607864   -.8768166
           12 75  |  -1.409301   .0214986   -65.55   0.000    -1.451542   -1.367059
           12 76  |  -1.290767   .0237963   -54.24   0.000    -1.337524   -1.244011
           12 77  |  -.6499585   .0159283   -40.81   0.000    -.6812552   -.6186617
           12 78  |  -.4139723   .0105749   -39.15   0.000    -.4347504   -.3931942
            13 1  |  -.2927901   .0185842   -15.75   0.000    -.3293052    -.256275
            13 2  |  -.8275537   .0122842   -67.37   0.000    -.8516902   -.8034171
            13 3  |  -.8864329   .0149895   -59.14   0.000    -.9158849   -.8569809
            13 4  |  -.8333904   .0176022   -47.35   0.000     -.867976   -.7988047
            13 5  |  -1.155129   .0154299   -74.86   0.000    -1.185447   -1.124812
            13 6  |  -.7051128   .0134964   -52.24   0.000    -.7316312   -.6785943
            13 7  |  -.8769696   .0156514   -56.03   0.000    -.9077221    -.846217
            13 8  |  -.9282765   .0149029   -62.29   0.000    -.9575584   -.8989946
            13 9  |  -.9447618   .0168845   -55.95   0.000    -.9779373   -.9115862
           13 10  |  -1.113724    .017708   -62.89   0.000    -1.148517    -1.07893
           13 11  |  -.9588588   .0154629   -62.01   0.000     -.989241   -.9284766
           13 12  |  -1.066803   .0134422   -79.36   0.000    -1.093215   -1.040391
           13 71  |  -.7374296   .0189502   -38.91   0.000    -.7746637   -.7001954
           13 72  |  -.8808322   .0227848   -38.66   0.000    -.9256008   -.8360636
           13 73  |  -.4665884   .0189002   -24.69   0.000    -.5037245   -.4294524
           13 74  |  -1.063579   .0195765   -54.33   0.000    -1.102044   -1.025114
           13 75  |  -.9608092   .0223186   -43.05   0.000    -1.004662   -.9169566
           13 76  |   -.708819   .0202491   -35.01   0.000    -.7486053   -.6690327
           13 77  |   -.455565   .0168155   -27.09   0.000     -.488605   -.4225251
            14 1  |  -.3739129   .0149879   -24.95   0.000    -.4033618   -.3444639
            14 2  |  -.3656379   .0152621   -23.96   0.000    -.3956255   -.3356502
            14 3  |  -.6143787   .0167124   -36.76   0.000    -.6472161   -.5815413
            14 4  |  -.2906858   .0133945   -21.70   0.000    -.3170041   -.2643676
            14 5  |  -.7723315   .0135369   -57.05   0.000    -.7989295   -.7457335
            14 6  |  -.7493293   .0144519   -51.85   0.000    -.7777252   -.7209335
            14 7  |  -.7983191   .0145605   -54.83   0.000    -.8269283   -.7697099
            14 8  |  -.6425415   .0099031   -64.88   0.000    -.6619996   -.6230834
            14 9  |   -.850907   .0135235   -62.92   0.000    -.8774786   -.8243353
           14 10  |  -.5702552   .0115258   -49.48   0.000    -.5929017   -.5476086
           14 71  |  -1.160733    .020879   -55.59   0.000    -1.201758   -1.119709
           14 73  |  -.9421613   .0194134   -48.53   0.000    -.9803057   -.9040169
            15 1  |  -.5390667   .0146205   -36.87   0.000    -.5677938   -.5103395
            15 2  |  -.4834279   .0155113   -31.17   0.000    -.5139052   -.4529506
            15 3  |  -.5793303   .0150508   -38.49   0.000    -.6089029   -.5497577
            15 4  |   -.607623     .01573   -38.63   0.000      -.63853    -.576716
            15 5  |   -.551514   .0151798   -36.33   0.000    -.5813399    -.521688
            15 6  |  -.5626169   .0134437   -41.85   0.000    -.5890318    -.536202
            15 7  |  -.4739655   .0150945   -31.40   0.000    -.5036239   -.4443072
            15 8  |  -.8968866   .0160999   -55.71   0.000    -.9285205   -.8652527
            15 9  |  -.7024608   .0150806   -46.58   0.000    -.7320918   -.6728298
           15 71  |  -1.123039   .0228583   -49.13   0.000    -1.167952   -1.078126
           15 72  |  -.5637425   .0172056   -32.76   0.000     -.597549    -.529936
            16 1  |  -.3449884   .0167468   -20.60   0.000    -.3778932   -.3120836
            16 2  |  -.2578442   .0147341   -17.50   0.000    -.2867945    -.228894
            16 3  |   -.500155    .015085   -33.16   0.000    -.5297947   -.4705153
            16 4  |   -.149582   .0149236   -10.02   0.000    -.1789046   -.1202594
            16 5  |  -.5307213   .0160779   -33.01   0.000    -.5623118   -.4991307
            16 6  |  -.3238514   .0156593   -20.68   0.000    -.3546195   -.2930833
            16 7  |  -.4416228   .0163489   -27.01   0.000     -.473746   -.4094997
            16 8  |  -.1279453   .0159071    -8.04   0.000    -.1592003   -.0966902
            16 9  |  -.7431655   .0153692   -48.35   0.000    -.7733637   -.7129673
           16 10  |  -.4001753   .0160479   -24.94   0.000     -.431707   -.3686437
           16 11  |  -.1087354     .01567    -6.94   0.000    -.1395245   -.0779464
           16 12  |  -.7465156   .0155072   -48.14   0.000    -.7769849   -.7160462
           16 13  |  -.5668168   .0155464   -36.46   0.000     -.597363   -.5362705
           16 71  |  -1.085388   .0252128   -43.05   0.000    -1.134927   -1.035849
           16 72  |  -.7152941    .017331   -41.27   0.000    -.7493468   -.6812414
           16 73  |  -1.031807   .0155429   -66.38   0.000    -1.062347   -1.001268
           16 74  |  -.5723368   .0189564   -30.19   0.000    -.6095832   -.5350903
            17 1  |  -.2180581   .0133265   -16.36   0.000    -.2442425   -.1918736
            17 2  |  -.2772035   .0150959   -18.36   0.000    -.3068646   -.2475424
            17 3  |  -.0996261   .0128273    -7.77   0.000    -.1248297   -.0744226
            17 4  |  -.3426908   .0095613   -35.84   0.000    -.3614773   -.3239044
            17 5  |  -.0145245   .0169429    -0.86   0.392    -.0478146    .0187656
            17 6  |  -.1728843   .0135979   -12.71   0.000    -.1996021   -.1461666
            17 7  |  -.2428445   .0158577   -15.31   0.000    -.2740024   -.2116866
            17 8  |  -.3130482   .0155895   -20.08   0.000    -.3436792   -.2824172
            17 9  |   .0118899   .0209497     0.57   0.571    -.0292731    .0530529
           17 71  |   -.337832   .0606298    -5.57   0.000    -.4569603   -.2187037
            18 1  |  -.4083575   .0153852   -26.54   0.000     -.438587   -.3781279
            18 2  |  -.3648079   .0135372   -26.95   0.000    -.3914064   -.3382095
            18 3  |  -.8040389   .0153057   -52.53   0.000    -.8341124   -.7739655
            18 4  |  -.9499393   .0152938   -62.11   0.000    -.9799893   -.9198894
            18 5  |  -.8175663   .0155522   -52.57   0.000     -.848124   -.7870085
            18 6  |  -.4978799   .0154358   -32.25   0.000     -.528209   -.4675509
            18 7  |  -.4274858   .0152685   -28.00   0.000     -.457486   -.3974857
            18 8  |  -.5283207   .0148911   -35.48   0.000    -.5575795    -.499062
            18 9  |   -.801151   .0143647   -55.77   0.000    -.8293754   -.7729266
           18 10  |  -.7299642   .0158599   -46.03   0.000    -.7611264    -.698802
           18 11  |  -.4429441   .0162219   -27.31   0.000    -.4748177   -.4110705
           18 12  |    -.63831   .0163936   -38.94   0.000    -.6705209    -.606099
           18 13  |  -.3247024   .0078946   -41.13   0.000     -.340214   -.3091908
           18 71  |  -.8743328   .0252312   -34.65   0.000    -.9239082   -.8247574
           18 72  |  -1.423912   .0205771   -69.20   0.000    -1.464343   -1.383481
            19 1  |  -.5567884   .0287224   -19.39   0.000    -.6132235   -.5003533
            19 2  |   .0683683    .050237     1.36   0.174    -.0303396    .1670763
            19 3  |  -.3223631   .0234002   -13.78   0.000     -.368341   -.2763852
            19 4  |  -.7216417    .015375   -46.94   0.000    -.7518511   -.6914322
            19 5  |   -.453328   .0155597   -29.13   0.000    -.4839005   -.4227555
            19 6  |  -.3537442   .0394865    -8.96   0.000     -.431329   -.2761593
           19 71  |   -.549389   .0260343   -21.10   0.000    -.6005425   -.4982355
            21 1  |  -.3901081   .0159754   -24.42   0.000    -.4214973   -.3587189
            21 2  |  -.1940358   .0214442    -9.05   0.000    -.2361704   -.1519012
            21 3  |   .2248408   .0167487    13.42   0.000     .1919322    .2577494
            21 4  |   .1303717   .0159677     8.16   0.000     .0989976    .1617458
            21 5  |   .1606175   .0189055     8.50   0.000      .123471    .1977639
           21 71  |  -1.408837   .0223603   -63.01   0.000    -1.452771   -1.364902
           21 72  |  -.9167949   .0221588   -41.37   0.000    -.9603334   -.8732563
            31 1  |  -.9510346   .0335247   -28.37   0.000    -1.016906   -.8851637
           31 71  |   -2.10575   .0266964   -78.88   0.000    -2.158205   -2.053296
           31 72  |  -2.219586   .0256135   -86.66   0.000    -2.269913    -2.16926
           31 73  |  -1.250431   .0307756   -40.63   0.000    -1.310901   -1.189962
           31 74  |  -2.103501   .0304335   -69.12   0.000    -2.163299   -2.043704
           31 75  |  -2.352192   .0356888   -65.91   0.000    -2.422315   -2.282069
            32 1  |  -1.449481   .0213601   -67.86   0.000    -1.491451   -1.407512
            32 2  |  -1.367161   .0158956   -86.01   0.000    -1.398394   -1.335929
            32 3  |  -1.210436   .0149016   -81.23   0.000    -1.239715   -1.181156
            32 4  |  -1.626091   .0249639   -65.14   0.000    -1.675141   -1.577041
            32 5  |  -1.418702   .0157948   -89.82   0.000    -1.449736   -1.387668
            32 6  |  -1.351385   .0156067   -86.59   0.000     -1.38205    -1.32072
            32 7  |  -1.199998   .0164034   -73.16   0.000    -1.232228   -1.167768
            32 8  |  -.7394454   .0168556   -43.87   0.000    -.7725642   -.7063267
            32 9  |  -.8468717   .0234164   -36.17   0.000    -.8928813   -.8008622
           32 10  |  -.8874787   .0169129   -52.47   0.000    -.9207099   -.8542475
           32 11  |   -.877464   .0167761   -52.30   0.000    -.9104265   -.8445016
           32 12  |  -.9505804   .0247434   -38.42   0.000    -.9991974   -.9019634
           32 13  |  -1.039513   .0157002   -66.21   0.000    -1.070362   -1.008665
           32 14  |  -.8860896   .0219501   -40.37   0.000    -.9292182    -.842961
           32 15  |  -.9322359   .0196361   -47.48   0.000    -.9708178    -.893654
           32 16  |  -1.617312   .0240906   -67.13   0.000    -1.664646   -1.569977
           32 17  |  -1.618121   .0193955   -83.43   0.000     -1.65623   -1.580012
           32 18  |  -1.100864   .0141327   -77.89   0.000    -1.128633   -1.073096
           32 71  |  -1.545362   .0229666   -67.29   0.000    -1.590488   -1.500236
           32 72  |  -1.481863   .0222689   -66.54   0.000    -1.525618   -1.438108
           32 73  |  -1.274745   .0226405   -56.30   0.000     -1.31923    -1.23026
           32 74  |   -1.71624   .0213781   -80.28   0.000    -1.758245   -1.674235
           32 75  |  -2.588147   .0259195   -99.85   0.000    -2.639075    -2.53722
           32 76  |  -2.251861   .0221481  -101.67   0.000    -2.295379   -2.208344
           32 77  |  -2.259692    .028642   -78.89   0.000     -2.31597   -2.203415
           32 78  |  -1.619804   .0229921   -70.45   0.000     -1.66498   -1.574628
           32 79  |  -1.519025   .0179653   -84.55   0.000    -1.554324   -1.483726
            33 1  |  -.8158153   .0208408   -39.15   0.000    -.8567642   -.7748663
            33 2  |   -.910942   .0181082   -50.31   0.000    -.9465219   -.8753622
            33 3  |  -.8750922   .0181295   -48.27   0.000    -.9107138   -.8394706
            33 4  |  -.8539872   .0155621   -54.88   0.000    -.8845644     -.82341
            33 5  |  -.6232757   .0161404   -38.62   0.000    -.6549891   -.5915624
            33 6  |  -.2904297   .0170796   -17.00   0.000    -.3239885   -.2568708
            33 7  |  -.8259162   .0156815   -52.67   0.000     -.856728   -.7951045
            33 8  |  -.8158831    .016574   -49.23   0.000    -.8484485   -.7833177
            33 9  |  -.8583925   .0176539   -48.62   0.000    -.8930796   -.8237053
           33 10  |  -.7296351   .0187844   -38.84   0.000    -.7665435   -.6927267
           33 11  |  -.8853658   .0216489   -40.90   0.000    -.9279025    -.842829
           33 12  |  -.5586903   .0155629   -35.90   0.000    -.5892691   -.5281115
           33 13  |  -.8204271   .0193449   -42.41   0.000    -.8584368   -.7824174
           33 14  |  -.8587718   .0164579   -52.18   0.000    -.8911092   -.8264345
           33 15  |   -1.27147   .0159487   -79.72   0.000    -1.302807   -1.240134
           33 16  |  -.8355231   .0154813   -53.97   0.000    -.8659415   -.8051047
           33 17  |  -.7437788   .0209768   -35.46   0.000    -.7849949   -.7025627
           33 18  |  -.8578952   .0169427   -50.64   0.000    -.8911849   -.8246054
           33 19  |  -1.215133   .0276918   -43.88   0.000    -1.269543   -1.160722
           33 20  |   -1.06017   .0412376   -25.71   0.000    -1.141196   -.9791447
           33 21  |  -.9387923    .027821   -33.74   0.000    -.9934562   -.8841283
           33 22  |  -.9052624   .0216444   -41.82   0.000    -.9477904   -.8627345
           33 23  |   -.759471   .0152163   -49.91   0.000    -.7893686   -.7295734
           33 24  |  -.7851248   .0213964   -36.69   0.000    -.8271654   -.7430842
           33 25  |  -.7998159   .0197959   -40.40   0.000    -.8387118     -.76092
           33 26  |  -.6950072   .0294889   -23.57   0.000    -.7529484   -.6370659
           33 27  |  -.7950862   .0282023   -28.19   0.000    -.8504993    -.739673
           33 28  |  -.7424239   .0328483   -22.60   0.000    -.8069658   -.6778821
           33 29  |  -.9419654   .0234294   -40.20   0.000    -.9880005   -.8959302
           33 71  |  -1.255972   .0227093   -55.31   0.000    -1.300593   -1.211352
           33 72  |  -1.180854   .0226095   -52.23   0.000    -1.225278    -1.13643
           33 73  |  -1.498101   .0285264   -52.52   0.000    -1.554151   -1.442051
           33 74  |  -1.145187   .0228101   -50.21   0.000    -1.190005   -1.100369
           33 75  |  -1.193739   .0455347   -26.22   0.000    -1.283208   -1.104271
           33 76  |  -.7866035   .0653673   -12.03   0.000    -.9150403   -.6581667
            34 1  |  -1.001626   .0157773   -63.49   0.000    -1.032626   -.9706263
            34 2  |  -1.314497   .0173569   -75.73   0.000    -1.348601   -1.280394
            34 3  |  -1.009687   .0132026   -76.48   0.000    -1.035628   -.9837454
            34 4  |  -1.433362   .0170985   -83.83   0.000    -1.466958   -1.399766
           34 71  |  -1.266328   .0224429   -56.42   0.000    -1.310425   -1.222231
            35 1  |  -.9292528   .0172998   -53.71   0.000    -.9632444   -.8952613
            35 2  |  -.9329661   .0162345   -57.47   0.000    -.9648644   -.9010677
            35 3  |  -1.148241   .0175282   -65.51   0.000    -1.182681   -1.113801
            35 4  |  -.8751793   .0162792   -53.76   0.000    -.9071655   -.8431931
            35 5  |  -1.016289   .0149744   -67.87   0.000    -1.045712   -.9868671
            35 6  |  -1.083313   .0161706   -66.99   0.000    -1.115086   -1.051541
            35 7  |  -1.348019   .0164692   -81.85   0.000    -1.380378   -1.315659
            35 8  |  -1.295563   .0151489   -85.52   0.000    -1.325329   -1.265798
            35 9  |  -1.756131   .0155036  -113.27   0.000    -1.786593   -1.725669
           35 10  |  -1.454408   .0162322   -89.60   0.000    -1.486302   -1.422514
           35 11  |  -1.209472   .0164127   -73.69   0.000     -1.24172   -1.177223
           35 12  |  -1.400906   .0182898   -76.59   0.000    -1.436843   -1.364969
           35 13  |  -1.284636   .0153928   -83.46   0.000    -1.314881   -1.254392
           35 14  |   -1.22393   .0182779   -66.96   0.000    -1.259843   -1.188017
           35 15  |  -1.049843   .0317183   -33.10   0.000    -1.112164   -.9875211
           35 16  |  -1.048159   .0222067   -47.20   0.000    -1.091791   -1.004526
           35 17  |  -1.275566   .0169846   -75.10   0.000    -1.308938   -1.242194
           35 18  |  -1.056768   .0159612   -66.21   0.000     -1.08813   -1.025407
           35 19  |  -.9073812   .0160835   -56.42   0.000    -.9389828   -.8757796
           35 20  |  -.8579426   .0156165   -54.94   0.000    -.8886267   -.8272586
           35 21  |  -1.028859   .0158117   -65.07   0.000    -1.059926   -.9977912
           35 22  |  -1.062116   .0153218   -69.32   0.000    -1.092221   -1.032011
           35 23  |  -1.016206   .0162898   -62.38   0.000    -1.048213   -.9841995
           35 24  |  -1.174998    .016833   -69.80   0.000    -1.208072   -1.141923
           35 25  |  -.9998477   .0215607   -46.37   0.000    -1.042211   -.9574842
           35 26  |  -.8659092   .0217728   -39.77   0.000    -.9086895    -.823129
           35 27  |  -1.683627   .0173114   -97.26   0.000    -1.717641   -1.649612
           35 28  |  -1.636359   .0288627   -56.69   0.000     -1.69307   -1.579648
           35 29  |  -1.270886   .0155315   -81.83   0.000    -1.301403    -1.24037
           35 71  |  -1.098104   .0223218   -49.19   0.000    -1.141962   -1.054245
           35 72  |  -1.160875   .0215154   -53.96   0.000     -1.20315   -1.118601
           35 73  |  -1.781258   .0222466   -80.07   0.000     -1.82497   -1.737547
           35 74  |   -1.35184   .0209001   -64.68   0.000    -1.392906   -1.310775
           35 75  |  -1.303279    .024567   -53.05   0.000    -1.351549   -1.255008
           35 76  |  -1.127129     .02348   -48.00   0.000    -1.173263   -1.080994
           35 77  |  -1.102917   .0221418   -49.81   0.000    -1.146423   -1.059412
           35 78  |  -1.230225   .0320516   -38.38   0.000    -1.293201   -1.167248
           35 79  |  -1.480691    .020418   -72.52   0.000    -1.520809   -1.440573
            36 1  |  -.8637026    .021563   -40.05   0.000    -.9060707   -.8213346
            36 2  |  -1.063172   .0142698   -74.50   0.000     -1.09121   -1.035134
            36 3  |  -1.338802   .0350846   -38.16   0.000    -1.407738   -1.269867
            36 4  |  -.9888584   .0192888   -51.27   0.000    -1.026758   -.9509588
           36 71  |  -1.479765   .0333659   -44.35   0.000    -1.545324   -1.414206
           36 72  |  -1.564579   .0268735   -58.22   0.000    -1.617381   -1.511777
           36 73  |  -1.295457   .0204463   -63.36   0.000    -1.335631   -1.255283
           36 74  |  -1.908198   .0329126   -57.98   0.000    -1.972866    -1.84353
            51 1  |  -1.006874   .0156015   -64.54   0.000    -1.037528   -.9762194
            51 2  |  -.2734023   .0153552   -17.81   0.000     -.303573   -.2432317
            51 3  |   -.837846   .0227196   -36.88   0.000    -.8824865   -.7932055
            51 4  |  -.5925208    .021627   -27.40   0.000    -.6350146    -.550027
            51 5  |  -.2390929   .0143144   -16.70   0.000    -.2672184   -.2109673
            51 6  |   -.099975   .0164116    -6.09   0.000    -.1322214   -.0677287
            51 7  |  -.5161548   .0137621   -37.51   0.000    -.5431953   -.4891142
            51 8  |  -.6884572   .0135986   -50.63   0.000    -.7151763   -.6617381
           51 71  |  -1.138065   .0245985   -46.27   0.000    -1.186397   -1.089733
            52 1  |  -1.328811   .0180584   -73.58   0.000    -1.364293   -1.293329
            52 2  |  -2.082436   .0150366  -138.49   0.000    -2.111981   -2.052892
            52 3  |  -1.439921   .0255958   -56.26   0.000    -1.490213   -1.389629
            52 4  |  -.6117674   .0122814   -49.81   0.000    -.6358985   -.5876363
            52 5  |  -1.245947   .0105655  -117.93   0.000    -1.266707   -1.225188
            52 6  |  -1.032218   .0126848   -81.37   0.000    -1.057141   -1.007294
            52 7  |  -.6263301   .0138492   -45.23   0.000    -.6535416   -.5991186
            52 8  |  -1.603789   .0124997  -128.31   0.000    -1.628349   -1.579229
           52 71  |  -1.220833   .0207072   -58.96   0.000    -1.261519   -1.180146
           52 72  |  -.8850863   .0175941   -50.31   0.000     -.919656   -.8505167
            53 1  |  -.2861845     .01426   -20.07   0.000    -.3142033   -.2581657
            53 2  |  -.0079041   .0223382    -0.35   0.724    -.0517952     .035987
            53 3  |  -.0824285   .0108483    -7.60   0.000    -.1037438   -.0611132
            53 4  |   -.141556   .0146494    -9.66   0.000    -.1703399   -.1127721
            53 5  |  -.2358277     .01539   -15.32   0.000    -.2660666   -.2055888
